OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,SHAPE // PROJ_AREA_(PX^2),TRACK_ID
1,78.3026748,203.3137025,0,4262,1
2,148,417,0,2449,23
3,194,105,0,2617,2
4,238.631068,467.464742,0,3914,24
5,323,531,0,1513,25
6,345.7346814,594.6911765,0,1632,31
7,396,311,0,1649,5
8,435.5,452,0,1836,16
9,434,542,0,1649,26
10,437,646.5,0,1384,32
11,500,332,0,1649,6
12,509.6656783,607.8554485,0,1349,30
13,517,538,0,1369,27
14,529.0163934,759.5193741,0,1342,34
15,572,38,0,1941,3
16,635.8982036,684.9086826,0,2004,33
17,639,584,0,1941,28
18,676,502,0,1789,29
19,707,816,0,1125,10
20,723,914,0,1941,15
21,829,185,0,1789,4
22,862.2652705,764.6387435,0,2292,9
23,891.8786292,711.3465017,0,2101,8
24,81.14414195,202.7912008,1,4114,1
25,148,417,1,2449,23
26,195,104,1,2617,2
27,243.6858754,467.7688694,1,3193,24
28,323,531,1,1513,25
29,345,595,1,1347,31
30,398,311,1,1649,5
31,435,452,1,1789,16
32,435,542,1,1369,26
33,435.1746758,652.1525553,1,1311,32
34,500,332,1,1649,6
35,510,608,1,1245,30
36,517,538,1,1369,27
37,524.9731707,761.4195122,1,1230,34
38,571,41,1,1941,3
39,631.1140802,686.5693731,1,1946,33
40,639,584,1,1941,28
41,678,501,1,1789,29
42,708.5,816,1,1694,10
43,724,920,1,1941,15
44,827.1447231,184.3333333,1,1914,4
45,864.982243,761.5401869,1,2140,9
46,890,704,1,1513,8
47,77.80272634,201.3459362,2,3888,1
48,148,417,2,2449,23
49,196,102.5,2,2674,2
50,244.0339463,464.5187412,2,2828,24
51,323,531,2,1513,25
52,347,592,2,1421,31
53,398,310,2,1649,5
54,433,451,2,1789,16
55,433,652,2,1125,32
56,441,538,2,1369,26
57,500,332,2,1649,6
58,510,607,2,1245,30
59,517,538,2,1369,27
60,527.5,758.5,2,938,34
61,570,40,2,1941,3
62,634.5,684,2,1770,33
63,641,583.5,2,1990,28
64,678,500.5,2,1836,29
65,709,816,2,1649,10
66,724,917,2,1941,15
67,826,183,2,1789,4
68,864.837585,764.2708333,2,2352,9
69,890,705,2,1513,8
70,77.22666962,198.7295444,3,4522,1
71,148,417,3,2449,23
72,199,100,3,2617,2
73,244.0585489,462.0366379,3,2784,24
74,325,531,3,1649,25
75,347,593,3,1421,31
76,398.5,309,3,1694,5
77,433.5,451,3,1836,16
78,436,649.5,3,1216,32
79,441,538,3,1369,26
80,500.5,330.5,3,1714,6
81,510,607,3,1245,30
82,517,538,3,1369,27
83,526.4022015,754.834039,3,1181,34
84,570,40,3,1941,3
85,633.1673028,687.1507634,3,1572,33
86,641.61846,582.61846,3,2026,28
87,678,500,3,1789,29
88,710,816,3,1649,10
89,724,917,3,1941,15
90,830,183,3,1789,4
91,868,765,3,1649,9
92,890,705,3,1513,8
93,80.95559742,200.7212056,4,3716,1
94,143,416,4,2449,23
95,203,99,4,2449,2
96,242.7166998,459.6865474,4,3018,24
97,325.5,531,4,1694,25
98,343.280543,590.8545572,4,1547,31
99,399.5,308.5,4,1714,5
100,434,451,4,1789,16
101,438.9047619,651.9569892,4,1302,32
102,445,534,4,1245,26
103,502,327,4,1649,6
104,512.0331687,605.5638673,4,1417,30
105,526,535,4,1369,27
106,529.492467,761.4689266,4,1062,34
107,570,40,4,1941,3
108,638.1491525,685.6491525,4,1770,33
109,642,582,4,1941,28
110,679,500,4,1789,29
111,710,816,4,1649,10
112,723,915,4,2039,15
113,831,185,4,1789,4
114,870.5,763,4,1694,9
115,890,705,4,1513,8
116,78.73728603,197.535351,5,4031,1
117,144,416,5,2809,23
118,201.5,99,5,2504,2
119,243.1951603,460.5735387,5,3182,24
120,326,531,5,1649,25
121,343.0609756,591.0257453,5,1476,31
122,401,306,5,1649,5
123,435,451,5,1789,16
124,437.4304584,652.029526,5,1287,32
125,445,534,5,1245,26
126,502,327,5,1649,6
127,515,604,5,1245,30
128,526,535,5,1369,27
129,531,760.5,5,922,34
130,570,40,5,1941,3
131,637.0067568,687.0088358,5,1924,33
132,642,583,5,1941,28
133,682,499,5,1789,29
134,708.5,816,5,1694,10
135,721,914,5,1941,15
136,831,185,5,1789,4
137,867,763,5,1649,9
138,893.4762887,707.7046392,5,1940,8
139,75.87024864,200.5953129,6,3499,1
140,144.5,416,6,2868,23
141,201,99,6,2449,2
142,244.5588235,464.5454248,6,3060,24
143,325,531,6,1739,25
144,341.6705471,597.072759,6,1718,31
145,401,305,6,1649,5
146,435,451,6,1789,16
147,440,651,6,1199,32
148,445,534,6,1245,26
149,501.5,327,6,1694,6
150,517.5,604,6,1162,30
151,532.5,530,6,1410,27
152,534,761.5,6,922,34
153,572.5,40,6,1990,3
154,640.0074541,686.0097477,6,1744,33
155,642,583,6,1941,28
156,683,499,6,1789,29
157,708,816,6,1649,10
158,722,914,6,1941,15
159,829,182,6,1789,4
160,867.5,763,6,1694,9
161,889.1850437,703.2767467,6,1832,8
162,78.53219593,198.1755641,7,3634,1
163,145,416,7,2809,23
164,202.5,100,7,2504,2
165,245.409379,458.9841572,7,3156,24
166,323,530,7,1649,25
167,343.6037196,594.5422031,7,1398,31
168,400,305,7,1649,5
169,435,451,7,1789,16
170,439.5,650.5,7,1248,32
171,445,534,7,1245,26
172,496.142623,330.6377049,7,1830,6
173,519,604,7,1273,30
174,530,531,7,1369,27
175,535.5,759,7,988,34
176,573,40,7,1941,3
177,636.3776897,687.9195923,7,1766,33
178,642,583,7,1941,28
179,684,494,7,1789,29
180,709.5,816,7,1694,10
181,722,914,7,1941,15
182,826,180,7,1789,4
183,874.5,755,7,1728,9
184,892.7013301,705.3599355,7,2481,8
185,78.45879253,198.8172017,8,4174,1
186,145,416,8,2809,23
187,203,100.5,8,2504,2
188,242.6283701,456.5422794,8,3264,24
189,323,530,8,1649,25
190,340.4309783,598.0092391,8,1840,31
191,398,305,8,1739,5
192,428,453,8,889,16
193,438.5,650.5,8,1322,32
194,445,534,8,1245,26
195,495,332.5,8,1694,6
196,520,602.5,8,1162,30
197,529,531,8,1369,27
198,536.002693,757.0152603,8,1114,34
199,573,40,8,1941,3
200,632.6364978,689.5818987,8,2033,33
201,642,583,8,1941,28
202,684.5,494,8,1836,29
203,710,815,8,1649,10
204,723,913.5,8,1990,15
205,830,183,8,1789,4
206,865,759.5,8,1556,9
207,890,707.5,8,1796,8
208,81.46087398,196.3020833,9,3936,1
209,144,416,9,2809,23
210,206,101,9,2449,2
211,241.1190765,459.0361482,9,3292,24
212,323,530,9,1649,25
213,338.7153189,600.1794872,9,1521,31
214,396,305,9,1649,5
215,436.5,654.5,9,1372,32
216,434,454,9,697,16
217,449,533,9,1245,26
218,496.022779,330.4527335,9,1756,6
219,518.6709337,602.1106928,9,1328,30
220,529.5,531,9,1410,27
221,528,764,9,889,34
222,573,40,9,1941,3
223,633.4939467,691.042615,9,2065,33
224,642,583,9,1941,28
225,687.5,492,9,1836,29
226,709,815,9,1649,10
227,725,913,9,1941,15
228,829.5,183,9,1836,4
229,864.5,762,9,1556,9
230,888.2392704,708.7430258,9,1864,8
231,84.01196172,195.9301435,10,4180,1
232,144,415,10,2809,23
233,207,101,10,2449,2
234,243,457.5,10,2762,24
235,323,530,10,1649,25
236,337.5466583,601.0214376,10,1586,31
237,396,305,10,1649,5
238,435,657,10,1273,32
239,450.6119829,533.8323823,10,1402,26
240,442,446,10,193,16
241,499,327.5,10,1760,6
242,511,608.5,10,1236,30
243,529.0092807,763.5382831,10,1293,34
244,530,531,10,1369,27
245,573,40,10,1941,3
246,633.0676891,690.6298255,10,1891,33
247,645,580,10,1789,28
248,688,491,10,1789,29
249,709,815,10,1649,10
250,724.5,913,10,1990,15
251,828,181,10,1789,4
252,862,762,10,1513,9
253,890.4173069,707.1904569,10,2473,8
254,83.24020076,194.2433078,11,4184,1
255,144,416,11,2809,23
256,209.5,100,11,2504,2
257,246.9673243,454.4913687,11,3244,24
258,323,530,11,1649,25
259,338,595.5,11,1384,31
260,396,305,11,1649,5
261,433.6505495,653.6483516,11,1365,32
262,443.5260116,451.0433526,11,346,16
263,453.868191,534.131809,11,1487,26
264,499,328,11,2009,6
265,514,610,11,1005,30
266,528.5,764,11,1120,34
267,530,531,11,1369,27
268,573,40,11,1941,3
269,633.0172606,691.0595768,11,1796,33
270,645,580,11,1789,28
271,687,493,11,1789,29
272,701,818,11,1649,10
273,727,913,11,1941,15
274,828,181,11,1789,4
275,864,762,11,1513,9
276,887.7302885,705.8634615,11,2080,8
277,83.3575934,191.426492,12,4122,1
278,146,416,12,2927,23
279,213,97.5,12,2504,2
280,246.7744548,454.7320872,12,3210,24
281,322.5472665,528.977221,12,1756,25
282,339.7030223,598.1773982,12,1522,31
283,396,305,12,1649,5
284,432.6982507,653.8360058,12,1372,32
285,446.2327791,443.3420428,12,421,16
286,453,531,12,1323,26
287,499.4328753,328.5327696,12,1892,6
288,514,609.5,12,1040,30
289,526.5,764,12,1054,34
290,532,530,12,1451,27
291,573,40,12,1941,3
292,636.5622983,689.0296966,12,1549,33
293,645,580,12,1789,28
294,687,493,12,1649,29
295,702,818,12,1649,10
296,728,921,12,1941,15
297,826,179.5,12,1836,4
298,865,761.5,12,1556,9
299,891.6037435,707.9494225,12,2511,8
300,83.09594365,189.8902113,13,4117,1
301,149.1701149,414.6157635,13,3045,23
302,214.9240168,94.89767087,13,2619,2
303,244.0692612,458.5207784,13,3032,24
304,320,526,13,1649,25
305,339,600,13,1347,31
306,396,305,13,1649,5
307,431.5420136,654.5124905,13,1321,32
308,453,532,13,1245,26
309,443,452,13,223,16
310,498.4638783,327.9891363,13,1841,6
311,512,611.5,13,1110,30
312,525.0117532,763.5122429,13,1021,34
313,533,530,13,1369,27
314,573,40,13,1941,3
315,641.5,583,13,1836,28
316,640,690,13,1369,33
317,687,493,13,1649,29
318,706,821,13,1649,10
319,728,922,13,1941,15
320,828,182,13,1649,4
321,862.5,756,13,1556,9
322,894.7041377,715.2054193,13,2731,8
323,87.84142788,186.3839242,14,4118,1
324,151,412,14,2809,23
325,217,93.5,14,2584,2
326,247.1752468,450.5814528,14,2836,24
327,320,526,14,1513,25
328,337.9510309,606.492268,14,1552,31
329,396,305,14,1649,5
330,425,658.5,14,1532,32
331,446.9522727,452.2136364,14,440,16
332,453,531,14,1323,26
333,495.6916039,331.1560818,14,1858,6
334,511.1657049,612.6529266,14,1213,30
335,528.6524752,763.6792079,14,1010,34
336,533,529,14,1369,27
337,573,40,14,1941,3
338,640,583,14,1789,28
339,640,690,14,1369,33
340,691.2414175,496.7585825,14,1806,29
341,704,821,14,1649,10
342,728,924,14,1941,15
343,828.3363482,180.8569813,14,1769,4
344,867,760,14,1513,9
345,889.8497135,707.9911855,14,2269,8
346,91.35871886,184.8982206,15,4215,1
347,151,412,15,2809,23
348,219,93,15,2669,2
349,246.1724739,451.3725319,15,3444,24
350,321,527,15,1513,25
351,336.7730015,607.5263952,15,1326,31
352,396,305,15,1649,5
353,425,651.5,15,1310,32
354,445.8484108,450.7261614,15,409,16
355,453,526,15,1245,26
356,495,332.5,15,1784,6
357,504.5285235,613.511745,15,1192,30
358,526.6773869,766.7105528,15,995,34
359,533,529,15,1369,27
360,573,40,15,1941,3
361,639,581,15,1789,28
362,640,694,15,1369,33
363,694.6195715,496.3804285,15,1727,29
364,708,821,15,1649,10
365,728,923,15,1941,15
366,831.4527335,181.977221,15,1756,4
367,866.5,760,15,1556,9
368,893.2097674,711.7288372,15,2150,8
369,93.13726027,178.0178082,16,3650,1
370,151,412,16,2809,23
371,219,93.5,16,2724,2
372,246.998375,447.0048749,16,3077,24
373,321,528.5,16,1728,25
374,334.2446873,612.3995143,16,1647,31
375,396,303,16,1739,5
376,422,651,16,1347,32
377,438,434,16,145,16
378,453,524,16,1245,26
379,496,330,16,1739,6
380,500.0702371,615.4626866,16,1139,30
381,528.5,766,16,1010,34
382,533,529,16,1369,27
383,573,40,16,1941,3
384,638,580,16,1789,28
385,640,694,16,1513,33
386,696,496,16,1739,29
387,706,821,16,1649,10
388,728,923,16,1941,15
389,832.3804285,183.3804285,16,1727,4
390,866,760,16,1513,9
391,891.0217134,711.2258192,16,2533,8
392,94.40180135,181.5984488,17,3997,1
393,151,412,17,2809,23
394,218.4060043,94.9617584,17,2798,2
395,247.6977833,441.0761786,17,3203,24
396,324,528,17,1513,25
397,332.8483871,610.8316129,17,1550,31
398,396,301,17,1649,5
399,421.1336146,653.649789,17,1422,32
400,422,423,17,145,22
401,452.5,524,17,1284,26
402,496,331.5,17,1874,6
403,501.5706122,616.9779592,17,1225,30
404,524.996991,767.001003,17,997,34
405,533,528,17,1369,27
406,573,40,17,1941,3
407,632.5232143,695.047619,17,1680,33
408,640,578,17,1789,28
409,697,495,17,1649,29
410,702,816,17,1649,10
411,727,923,17,1941,15
412,833.5472665,184.022779,17,1756,4
413,866.5,760,17,1556,9
414,890.2902677,710.2987675,17,2353,8
415,99.36983574,179.7401692,18,4018,1
416,149,412,18,2809,23
417,219,97.5,18,2614,2
418,248.2054755,450.5887608,18,3470,24
419,323,525,18,1649,25
420,328.459101,609.9889462,18,1357,31
421,396,301,18,1649,5
422,419.418429,652.4660121,18,1324,32
423,417.0394089,419.9876847,18,406,22
424,452,524,18,1245,26
425,496,334,18,1649,6
426,502,618,18,1215,30
427,524.9949444,764.4843276,18,989,34
428,533,528,18,1369,27
429,573,40,18,1941,3
430,629,696,18,1599,33
431,643,574,18,1789,28
432,697,493.5,18,1694,29
433,703,816,18,1649,10
434,727,925,18,1941,15
435,833,182,18,1739,4
436,868,766,18,1513,9
437,892.4969912,712.980177,18,2825,8
438,101.0840296,180.4612079,19,4189,1
439,149,412,19,2809,23
440,220.3981774,96.45916579,19,2853,2
441,247.7302487,447.1989298,19,3177,24
442,323,525,19,1649,25
443,327.1677675,610.1571995,19,1514,31
444,396,301,19,1649,5
445,416.4139535,654.9767442,19,1505,32
446,414.0074627,418.3507463,19,402,22
447,450,522,19,1245,26
448,496,334,19,1649,6
449,501.692637,619.1575342,19,1168,30
450,533,527,19,1369,27
451,528,762,19,793,34
452,573,40,19,1941,3
453,634,686,19,1513,33
454,643,573,19,1789,28
455,695,492,19,1649,29
456,704,816,19,1649,10
457,729,925,19,1941,15
458,831.5238871,182.0081433,19,1842,4
459,867,766,19,1599,9
460,888.6870919,706.3977901,19,1991,8
461,104.2634629,177.243178,20,4141,1
462,149,412,20,2809,23
463,228.2785358,89.81963394,20,3005,2
464,246.8081761,447.2471698,20,3180,24
465,323,525,20,1649,25
466,324.4868863,613.99731,20,1487,31
467,396,301,20,1649,5
468,406.7394541,423.3895782,20,403,22
469,415,656,20,1421,32
470,450,522,20,1245,26
471,496,335.5,20,1694,6
472,497.3710443,618.318038,20,1264,30
473,533,527,20,1369,27
474,528,763,20,855,34
475,573,40,20,1941,3
476,634,686,20,1513,33
477,643,570,20,1789,28
478,696,492.5,20,1784,29
479,699.5,816,20,1694,10
480,729,925,20,1941,15
481,833.5,181,20,1760,4
482,865,766,20,1513,9
483,890.1374172,707.8592715,20,1812,8
484,105.5421527,174.8303287,21,3772,1
485,149,412,21,2809,23
486,226.3030083,89.65857195,21,2759,2
487,248.6364245,446.0599263,21,2987,24
488,323,525,21,1649,25
489,324,612.5,21,1440,31
490,395.5,301,21,1694,5
491,414.4070536,657.9617928,21,1361,32
492,405,419,21,249,22
493,450,522,21,1245,26
494,463,451,21,305,18
495,495.5,336,21,1694,6
496,493,617,21,1145,30
497,533.5,527,21,1410,27
498,528.5,769,21,824,34
499,573,40,21,1941,3
500,632,687,21,1513,33
501,643,572,21,1789,28
502,698,492.5,21,1694,29
503,702,812,21,1649,10
504,728,925,21,1941,15
505,833.5,180,21,1752,4
506,863.5,766,21,1556,9
507,887,710,21,1789,8
508,102.5846774,175.4669355,22,3720,1
509,149,412,22,2809,23
510,230.028292,91.50890674,22,2863,2
511,249.6985408,445.049674,22,3221,24
512,323,525,22,1649,25
513,322.7465008,618.688958,22,1929,31
514,395,300,22,1649,5
515,414,657.5,22,1310,32
516,410,421,22,249,22
517,450,522,22,1245,26
518,470,454,22,305,18
519,493.5,336,22,1694,6
520,491,619,22,1145,30
521,534.5,527,22,1410,27
522,529,764,22,793,34
523,573,40,22,1941,3
524,634,689,22,1245,33
525,643,573,22,1789,28
526,700,489.5,22,1694,29
527,703,813.5,22,1694,10
528,728,924,22,1941,15
529,832,182,22,1829,4
530,863,764,22,1513,9
531,888,710,22,1789,8
532,100.4553497,169.1581421,23,3617,1
533,149,412,23,2809,23
534,225.5,92,23,2744,2
535,253.508161,447.0061661,23,2757,24
536,323,525,23,1649,25
537,321,620.5,23,1574,31
538,394.5,300,23,1694,5
539,415,656.5,23,1310,32
540,409,424,23,305,22
541,449,518,23,1245,26
542,471,455,23,373,18
543,493,336,23,1649,6
544,491,619,23,1145,30
545,535.5,527,23,1410,27
546,531,762,23,793,34
547,573,40,23,1941,3
548,632,690.5,23,1362,33
549,643,572,23,1789,28
550,701,488,23,1739,29
551,704,822,23,1649,10
552,736.5,928,23,1990,15
553,832.3011035,182.3399895,23,1903,4
554,863,764,23,1513,9
555,888,710,23,1789,8
556,102.7069345,164.2333517,24,3634,1
557,149,412,24,2809,23
558,227.9619883,89.42690058,24,2736,2
559,258.3954008,438.9674225,24,3131,24
560,323,525,24,1789,25
561,321.86196,618.1612223,24,1898,31
562,393,298.5,24,1694,5
563,415,659.5,24,1458,32
564,410,424,24,373,22
565,449,518,24,1245,26
566,470.5,455,24,394,18
567,493,336,24,1649,6
568,490,622.5,24,1250,30
569,536,527,24,1369,27
570,534.5,762,24,824,34
571,572.5,37,24,1990,3
572,633.5382206,696.5338346,24,1596,33
573,643,572,24,1789,28
574,702,491,24,1829,29
575,706,821,24,1649,10
576,738,928,24,1941,15
577,834.5,175,24,1840,4
578,864,764,24,1513,9
579,888,710,24,1789,8
580,105.158042,162.1546853,25,3575,1
581,149,412,25,2809,23
582,227.5936361,89.83195227,25,3017,2
583,253.4225979,442.9890273,25,3372,24
584,323,525,25,1789,25
585,327.0006109,624.0018326,25,1637,31
586,392,297,25,1649,5
587,415.5530086,663.482808,25,1396,32
588,409,424,25,415,22
589,449,518,25,1245,26
590,472.3621622,454.8086486,25,925,18
591,492,336,25,1649,6
592,493,623.5,25,1180,30
593,528,763,25,697,34
594,536.5518417,527.9754434,25,1466,27
595,569.4457948,35.02673797,25,2057,3
596,631.9430267,695.505638,25,1685,33
597,643,572.5,25,1836,28
598,702,492,25,1739,29
599,706,821,25,1649,10
600,738,930,25,1941,15
601,833,176,25,1919,4
602,864,764,25,1513,9
603,886,710,25,1789,8
604,104.6069379,160.8432447,26,3834,1
605,149,412,26,2809,23
606,233.5858549,90.53554502,26,2743,2
607,253.0875862,442.5241379,26,2900,24
608,323,526.5,26,1836,25
609,328,619,26,1615,31
610,392,295,26,1649,5
611,407,424,26,609,22
612,416.5929464,663.9617928,26,1361,32
613,449.9747409,521.5084197,26,1544,26
614,474.3940487,459.8981064,26,1109,18
615,492,336,26,1649,6
616,492.692637,625.1575342,26,1168,30
617,529.0510315,764.0857763,26,921,34
618,538.5,529.5,26,1428,27
619,568,35,26,2137,3
620,628.038205,700.0303214,26,1649,33
621,643,577,26,1789,28
622,702,492.5,26,1694,29
623,712,827,26,1739,10
624,727,930,26,1941,15
625,831.6636518,173.8569813,26,1769,4
626,864.5,765,26,1556,9
627,888,710,26,1789,8
628,103.9022744,158.9162709,27,4001,1
629,147.6273111,413.6273111,27,3083,23
630,235.048433,89.01388889,27,2808,2
631,253.3601469,440.9716288,27,2996,24
632,323,529,27,1789,25
633,327,621.5,27,1574,31
634,393.1886587,293.6603053,27,1834,5
635,407,424,27,663,22
636,417,664,27,1347,32
637,455,518,27,1245,26
638,478.8105263,457.0021053,27,1425,18
639,492,332,27,1649,6
640,492,628,27,1145,30
641,523.4437811,766.8726368,27,1005,34
642,541,531,27,1369,27
643,569.5,40,27,2062,3
644,628.9599757,701.9721043,27,1649,33
645,643,577,27,1789,28
646,702,493.5,27,1784,29
647,707,822,27,1649,10
648,732,930,27,1941,15
649,830,172.5,27,1784,4
650,864.5,765,27,1556,9
651,888,710,27,1789,8
652,106.8656356,161.6290478,28,4138,1
653,146,415.5,28,2868,23
654,235,87.5,28,2834,2
655,252.2222944,439.0932727,28,3077,24
656,323,529,28,1789,25
657,326.7021924,619.1644336,28,1642,31
658,394.5,292,28,1694,5
659,406.5,423,28,726,22
660,418.5,661.5,28,1248,32
661,454,520,28,1245,26
662,480.3511498,457.7750155,28,1609,18
663,492,332,28,1829,6
664,492,628.5,28,1110,30
665,520.1619256,767.7253829,28,914,34
666,541,531.5,28,1470,27
667,569.5542052,38.97326203,28,2057,3
668,627.3208489,703.4026217,28,1602,33
669,643,576,28,1789,28
670,700,492.5,28,1694,29
671,707,822,28,1649,10
672,736,937,28,1941,15
673,829,173,28,1739,4
674,863.5,765,28,1556,9
675,888,710,28,1789,8
676,105.8334587,159.2119388,29,3987,1
677,150.688389,416.3470063,29,3023,23
678,235.5564738,89.01618457,29,2904,2
679,252.4899866,442.4962172,29,2247,24
680,323,529,29,1789,25
681,325,623.5,29,1410,31
682,395,292,29,1649,5
683,406,423,29,697,22
684,419.418429,663.5339879,29,1324,32
685,454,520,29,1245,26
686,482.3204837,459.3325775,29,1323,18
687,494,329,29,1649,6
688,493,627.5,29,1180,30
689,516.4625122,766.4011685,29,1027,34
690,539,532,29,1369,27
691,568,38,29,1941,3
692,626.5890034,699.5408935,29,1455,33
693,643,574,29,1789,28
694,700,492.5,29,1694,29
695,707,822,29,1649,10
696,736,937,29,1941,15
697,834.609596,173.5444444,29,1980,4
698,866.5,765,29,1556,9
699,888,710,29,1789,8
700,107.9260156,156.0847458,30,3717,1
701,150.0242876,417.0165155,30,3088,23
702,234.5479115,89.51386451,30,2849,2
703,251.32884,440.2202909,30,2819,24
704,323,529,30,1789,25
705,324.6208333,623.6208333,30,1440,31
706,395,293.5,30,1694,5
707,393.5,417,30,1162,22
708,419.9155844,662.5435993,30,1078,32
709,453,522,30,1245,26
710,483.4856089,449.0612546,30,1355,18
711,489,626.5,30,1110,30
